F1,N1Oc2c(cccc2)C(=C1)CCOC(=O)c1cccn1S(=O)(=O)c1cc(Cl)ccc1N
F2,N1Oc2c(cccc2c2ccc(C(=O)OCC)n2S(=O)(=O)c2cc(Cl)ccc2N)C=C1
F3,N1Oc2c(C=C1)ccc(c2)c1cc(N)c(cc1Cl)S(=O)(=O)n1cccc1C(=O)OCC
F4,[nH]1oc2c(cc1)c1cc(C(=O)OCC)n(Sc3cc(Cl)ccc3N)c1cc2
F5,N1Oc2c(cccc2)c2c1c(N)c(cc2Cl)S(=O)(=O)n1cccc1C(=O)OCC
F6,[nH]1oc2c(cc1)cc(OCC)c1c2ccn1S(=O)(=O)c1cc(Cl)ccc1N
F7,N1Oc2c(C=C1)c(ccc2)c1ccc(Cl)cc1S(=O)(=O)n1cccc1C(=O)OCC
F8,N1Oc2c(cccc2COC(=O)c2cccn2S(=O)(=O)c2cc(Cl)ccc2N)C=C1
F9,[nH]1oc2c(cc1)c1c(cc2)n(c(c1)C(=O)OCC)S(=O)(=O)c1cc(Cl)ccc1N
F10,N1Oc2c(C=C1)cc(C)cc2c1cccn1S(=O)(=O)c1cc(Cl)ccc1N
B1,C(=C\OC(=O)c1cccn1S(=O)(=O)c1c(ccc(c1)Cl)N)\c1ccccc1
B2,CCOC(=O)c1cc(cn1S(=O)(=O)C1=C(/C(=C/c2ccccc2)/CC(=C1)Cl)N)C
B3,CCOC(=O)c1cc(cn1S(=O)(=O)c1c(ccc(c1)Cl)N)/C=C\c1ccccc1
B4,CCOC(=O)c1cccn1S(=O)(=O)C1=C(C/C(=C\c2ccccc2)/C(=C1)Cl)N
B5,c1ccc(C(=O)OCC)n1S(=O)(=O)c1cc(ccc1N)c1cc(C=C)ccc1
B6,CCOC(=O)c1cccn1[S@@](O)(O/C=C\c1ccccc1)c1cc(Cl)ccc1N
B7,c1ccc(C(=O)/C(=C\c2ccccc2)/CC)n1S(=O)(=O)c1cc(Cl)ccc1N
B8,C\1=C\c2ccccc2c2cn(c(c2)C(=O)OCC)S(=O)(=O)c2cc(Cl)ccc2N1
B9,c1cc2ccccc2c2c3n(c(c2)C(=O)OCC)S(=O)(=O)c2cc(Cl)ccc2n1o3
B10,Nc1ccc(Cl)cc1S(=O)(=O)n1cccc1C(=O)O[C@H]1C[C@]23[C@]4(C=C)[C@]12C=C[C@H]34